USER_ID,GENDER,CUSTOMER_TYPE,ACTIVITY,HAVE_RETENTION,BAD_REFERENCE_COUNTER,MARITAL_STATUS,NUMBER_OF_DEPENDENTS,NUMBER_OF_CHILDREN,LEVEL_OF_STUDY,HAVE_ASSETS,AMOUNT_OF_INCOME,AMOUNT_OF_EXPENSE
238,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
239,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
240,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
241,FEMALE,P,0117,N,1,SINGLE,1,,7,,5000.00,0.00
242,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
243,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
244,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
245,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
246,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
247,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
248,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
249,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
250,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
251,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
252,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
253,FEMALE,P,,S,1,MARRIED,,,,,,0.00
254,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
255,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
256,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
257,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
258,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
259,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
